run_ts,check_name,check_type,metric_value
2026-05-27T17:49:17.876411+00:00,nulls_pl_name,completeness,0
2026-05-27T17:49:17.876411+00:00,nulls_hostname,completeness,0
2026-05-27T17:49:17.876411+00:00,bad_pl_orbper,validity_range,0
